"RANK","REFEREE","ROLE","GENDER","EXPERIENCE (YEARS)","GAMES OFFICIATED","HOME TEAM WIN%","HOME TEAM POINTS DIFFERENTIAL","TOTAL POINTS PER GAME","CALLED FOULS PER GAME","FOUL% AGAINST ROAD TEAMS","FOUL% AGAINST HOME TEAMS","FOUL DIFFERENTIAL (Against Road Team) - (Against Home Team)"
"65","Jason Goldenberg","CREW","MALE","7","45","0.578","4.6","235.9","41.1","0.499","0.501","-0.1"
"66","Ed Malloy","CREW","MALE","21","26","0.577","6","233.6","40.2","0.503","0.496","0.3"
"67","Ashley Moyer-Gleich","CREW","FEMALE","5","59","0.576","1.9","231.4","40.1","0.504","0.495","0.4"
"68","Mousa Dagher","CREW","MALE","5","42","0.571","4","229.1","41","0.496","0.505","-0.4"
"69","Intae Hwang","CREW","MALE","1","7","0.571","4","224.3","44.6","0.532","0.468","2.9"
"70","Tyler Mirkovich","CREW","MALE","2","7","0.571","2.7","230.1","44.3","0.458","0.542","-3.7"
"71","Aaron Smith","CREW","MALE","8","58","0.569","2.5","232","38.8","0.5","0.5","0"
"72","James Williams","CREW","MALE","14","44","0.568","3","229.1","37.6","0.496","0.504","-0.3"
"73","John Butler","CREW","MALE","5","46","0.565","3.8","226.2","39.8","0.498","0.502","-0.2"
"74","Matt Boland","CHIEF","MALE","24","23","0.565","-0.7","233.9","41","0.491","0.508","-0.7"
"75","James Williams","CHIEF","MALE","14","16","0.563","2.7","222.9","37.1","0.505","0.494","0.4"
"76","Gediminas Petraitis","CREW","MALE","9","59","0.559","1.8","229.1","40.9","0.493","0.507","-0.6"
"77","John Conley","CREW","MALE","4","34","0.559","1.4","231.1","41.1","0.503","0.497","0.2"
"78","David Guthrie","CREW","MALE","18","18","0.556","5.5","229.2","41.8","0.509","0.49","0.8"
"79","Andy Nagy","CREW","MALE","4","45","0.556","1.7","230.4","37.9","0.508","0.493","0.6"
"80","Mark Lindsay","CHIEF","MALE","16","18","0.556","0.9","228.1","39.2","0.492","0.509","-0.7"
"81","Karl Lane","CREW","MALE","13","47","0.553","3.1","230.4","39.8","0.509","0.491","0.7"
"82","Brandon Adair","CREW","MALE","6","48","0.542","1.3","226","37","0.497","0.503","-0.3"
"83","Bill Kennedy","CHIEF","MALE","28","48","0.542","0.1","231.4","40.3","0.495","0.505","-0.4"
"84","Zach Zarba","CHIEF","MALE","20","41","0.537","1.6","230","37.6","0.518","0.481","1.4"
"85","J.T. Orr","CREW","MALE","14","43","0.535","0.3","230.6","42","0.508","0.493","0.7"
"86","Curtis Blair","CREW","MALE","15","30","0.533","3","231.4","40","0.493","0.508","-0.6"
"87","Jenna Schroeder","CREW","FEMALE","4","34","0.529","1.4","230.3","41.1","0.522","0.477","1.9"
"88","Marat Kogut","CREW","MALE","14","36","0.528","-0.1","225.1","41.8","0.516","0.484","1.3"
"89","Tyler Ford","CREW","MALE","9","55","0.527","2.5","230.9","41.1","0.507","0.495","0.5"
"90","Suyash Mehta","CREW","MALE","4","38","0.526","1.7","231.4","40.9","0.506","0.494","0.5"
"91","JB DeRosa","CHIEF","MALE","6","57","0.526","1.2","232.5","42.2","0.497","0.502","-0.2"
"92","Courtney Kirkland","CHIEF","MALE","24","45","0.511","0","225.6","39.4","0.51","0.491","0.8"
"93","Gediminas Petraitis","CHIEF","MALE","9","2","0.5","4","242","36","0.458","0.542","-3"
"94","Brent Haskill","CREW","MALE","2","6","0.5","3.2","231.8","39.8","0.523","0.477","1.8"
"95","Sean Wright","CHIEF","MALE","18","40","0.5","2.4","229.8","40.5","0.512","0.486","1.1"
"96","Simone Jelks","CREW","FEMALE","4","6","0.5","1.7","217","34.7","0.509","0.49","0.7"
"97","Kevin Scott","CHIEF","MALE","13","12","0.5","1.6","230.1","40.8","0.496","0.504","-0.3"
"98","Derrick Collins","CHIEF","MALE","24","16","0.5","1.1","222.9","38.4","0.506","0.495","0.4"
"99","J.T. Orr","CHIEF","MALE","14","4","0.5","0","222.5","44.5","0.483","0.517","-1.5"
"100","Pat O'Connell","CREW","MALE","2","6","0.5","-0.8","233.8","43.2","0.532","0.467","2.8"
"101","Tyler Ricks","CREW","MALE","2","6","0.5","-1.3","222.3","37.5","0.511","0.489","0.8"
"102","Eric Lewis","CREW","MALE","19","18","0.5","-3.3","226.4","42.6","0.509","0.49","0.8"
"103","Natalie Sago","CREW","FEMALE","5","59","0.492","1.3","233.2","40.5","0.498","0.502","-0.2"
"104","John Goble","CHIEF","MALE","16","38","0.474","1.6","223.9","39.1","0.486","0.513","-1.1"
"105","Ben Taylor","CHIEF","MALE","12","19","0.474","-0.1","234.7","43.2","0.491","0.509","-0.8"
"106","Ed Malloy","CHIEF","MALE","21","30","0.467","-0.1","230.3","39.6","0.488","0.511","-0.9"
"107","Brian Forte","CHIEF","MALE","17","24","0.458","2.9","231.5","38.8","0.491","0.508","-0.7"
"108","Scott Twardoski","CREW","MALE","14","46","0.457","-2.2","229.5","40.5","0.5","0.5","0"
"109","Nick Buchert","CREW","MALE","14","44","0.455","-0.9","228.5","40.9","0.512","0.488","1"
"110","Bill Kennedy","CREW","MALE","28","11","0.455","-3.5","230.2","40.6","0.506","0.495","0.5"
"111","CJ Washington","CREW","MALE","9","38","0.447","-1.8","227.1","42","0.528","0.472","2.4"
"112","Cheryl Flores","CREW","FEMALE","2","32","0.438","1.5","225.4","39.7","0.481","0.518","-1.5"
"113","Josh Tiven","CHIEF","MALE","14","32","0.438","0.5","226.8","39.9","0.504","0.497","0.3"
"114","Courtney Kirkland","CREW","MALE","24","14","0.429","1.4","219.6","37.9","0.522","0.479","1.6"
"115","Sha'Rae Mitchell","CREW","MALE","2","7","0.429","-2.6","235.7","41","0.495","0.505","-0.4"
"116","Nate Green","CREW","MALE","5","35","0.429","-3.2","226.1","40.5","0.495","0.504","-0.4"
"117","Justin Van Duyne","CREW","MALE","10","55","0.418","-0.8","224.7","38.2","0.486","0.514","-1.1"
"118","Matt Kallio","CREW","MALE","2","30","0.4","-1.2","233.8","40.5","0.509","0.492","0.7"
"119","Eric Dalen","CHIEF","MALE","15","15","0.4","-4.1","226.7","39.9","0.508","0.493","0.6"
"120","Mitchell Ervin","CHIEF","MALE","9","5","0.4","-4.6","232.6","39.6","0.551","0.449","4"
"121","Tre Maddox","CHIEF","MALE","13","9","0.333","-1.4","225.2","40.2","0.473","0.528","-2.2"
"122","Derek Richardson","CREW","MALE","28","6","0.333","-4","218.3","40","0.5","0.5","0"
"123","Tom Washington","CREW","MALE","32","2","0","-5.5","246.5","40","0.45","0.55","-4"
"124","Dedric Taylor","CHIEF","MALE","10","2","0","-8.5","237.5","37","0.459","0.541","-3"
"125","James Capers","CREW","MALE","28","1","0","-19","235","47","57.447","42.553","7"
